Subject_No;NDVI_500_mean;LUgreen_500m;DGURBA_CLA;compstudie2;Airport;AirportName;Year;Gender;Age;AgeGroups;Annoyance_road;HAv_road;Road_LDEN;Annoyance_rail;HAv_rail;Rail_LDEN;Annoyance_air;HAv_air;Air_LDEN
1;0.555;0.578;2;3.3;4;STR;2013;2;51;5070;3;0;35.0;1;0;35.0;4;1;38.8
2;0.490;0.516;1;3.3;4;STR;2013;1;65;5070;2;0;39.5;1;0;35.0;2;0;35.0
3;0.493;0.335;1;3.3;4;STR;2013;2;45;3050;3;0;52.9;1;0;35.0;2;0;35.0
4;0.455;0.360;1;3.3;4;STR;2013;2;61;5070;1;0;46.9;1;0;35.0;2;0;35.0
5;0.491;0.608;1;3.3;4;STR;2013;1;37;3050;4;1;44.4;1;0;35.0;1;0;35.0
6;0.629;0.728;2;3.3;4;STR;2013;2;53;5070;1;0;45.9;1;0;35.0;2;0;35.6
7;0.555;0.476;2;3.3;4;STR;2013;2;63;5070;1;0;54.9;1;0;35.0;1;0;35.9
8;0.475;0.248;2;3.3;4;STR;2013;2;54;5070;4;1;62.6;1;0;35.0;1;0;36.2
9;0.465;0.411;2;3.3;4;STR;2013;2;73;7000;1;0;39.6;1;0;35.0;1;0;36.4
10;0.525;0.521;2;3.3;4;STR;2013;2;79;7000;3;0;42.7;1;0;35.0;2;0;37.6
11;0.456;0.285;2;3.3;4;STR;2013;2;45;3050;4;1;67.1;1;0;35.0;1;0;36.7
12;0.430;0.167;2;3.3;4;STR;2013;2;64;5070;1;0;47.0;1;0;35.0;1;0;36.9
13;0.515;0.384;2;3.3;4;STR;2013;1;47;3050;3;0;53.3;1;0;35.0;2;0;37.3
14;0.468;0.271;2;3.3;4;STR;2013;2;49;3050;5;1;61.1;1;0;35.0;3;0;37.6
15;0.536;0.424;2;3.3;4;STR;2013;1;20;1830;2;0;42.7;1;0;35.0;2;0;37.8
16;0.524;0.389;2;3.3;4;STR;2013;1;81;7000;3;0;48.5;1;0;35.0;3;0;41.5
17;0.459;0.105;2;3.3;4;STR;2013;2;20;1830;2;0;38.6;1;0;35.0;2;0;42.7
18;0.507;0.426;2;3.3;4;STR;2013;1;62;5070;1;0;38.7;1;0;35.0;2;0;39.9
19;0.549;0.698;2;3.3;4;STR;2013;2;59;5070;2;0;37.2;1;0;35.0;1;0;42.3
20;0.491;0.297;2;3.3;4;STR;2013;2;54;5070;3;0;60.7;1;0;35.0;2;0;44.0
21;0.481;0.296;2;3.3;4;STR;2013;2;40;3050;2;0;43.5;1;0;35.0;2;0;44.3
22;0.468;0.264;2;3.3;4;STR;2013;1;62;5070;2;0;38.4;2;0;35.0;4;1;44.3
23;0.413;0.216;2;3.3;4;STR;2013;1;62;5070;2;0;38.2;1;0;35.0;1;0;43.7
24;0.413;0.216;2;3.3;4;STR;2013;1;26;1830;1;0;36.4;1;0;35.0;2;0;43.6
25;0.428;0.213;2;3.3;4;STR;2013;2;67;5070;1;0;38.4;2;0;35.0;2;0;43.9
26;0.454;0.267;2;3.3;4;STR;2013;1;77;7000;2;0;46.6;1;0;35.0;1;0;44.4
27;0.480;0.373;2;3.3;4;STR;2013;2;80;7000;1;0;39.6;1;0;35.0;2;0;44.5
